reservoir_id,start_date,end_date,regulation_name
1,2000-06-01,2000-09-30,summer
1,2000-10-01,2001-05-31,winter
1,2001-06-01,2001-09-30,summer
1,2001-10-01,2002-05-31,winter
1,2002-06-01,2002-09-30,summer
1,2002-10-01,2003-05-31,winter
1,2003-06-01,2003-09-30,summer
1,2003-10-01,2004-05-31,winter
1,2004-06-01,2004-09-30,summer
1,2004-10-01,2005-05-31,winter
1,2005-06-01,2005-09-30,summer
1,2005-10-01,2006-05-31,winter
1,2006-06-01,2006-09-30,summer
1,2006-10-01,2007-05-31,winter
1,2007-06-01,2007-09-30,summer
1,2007-10-01,2008-05-31,winter
1,2008-06-01,2008-09-30,summer
1,2008-10-01,2009-05-31,winter
1,2009-06-01,2009-09-30,summer
1,2009-10-01,2010-05-31,winter
1,2010-06-01,2010-09-30,summer
1,2010-10-01,2011-05-31,winter
1,2011-06-01,2011-09-30,summer
1,2011-10-01,2012-05-31,winter
1,2012-06-01,2012-09-30,summer
1,2012-10-01,2013-05-31,winter
1,2013-06-01,2013-09-30,summer
1,2013-10-01,2014-05-31,winter
1,2014-06-01,2014-09-30,summer
1,2014-10-01,2015-05-31,winter
1,2015-06-01,2015-09-30,summer
1,2015-10-01,2016-05-31,winter
1,2016-06-01,2016-09-30,summer
1,2016-10-01,2017-05-31,winter
1,2017-06-01,2017-09-30,summer
1,2017-10-01,2018-05-31,winter
1,2018-06-01,2018-09-30,summer
1,2018-10-01,2019-05-31,winter
1,2019-06-01,2019-09-30,summer
1,2019-10-01,2020-05-31,winter
1,2020-06-01,2020-09-30,summer
1,2020-10-01,2021-05-31,winter
1,2021-06-01,2021-09-30,summer
1,2021-10-01,2022-05-31,winter
1,2022-06-01,2022-09-30,summer
1,2022-10-01,2023-05-31,winter
1,2023-06-01,2023-09-30,summer
1,2023-10-01,2024-05-31,winter
1,2024-06-01,2024-09-30,summer
1,2024-10-01,2025-05-31,winter
1,2025-06-01,2025-09-30,summer
1,2025-10-01,2026-05-31,winter
1,2026-06-01,2026-09-30,summer
1,2026-10-01,2027-05-31,winter
1,2027-06-01,2027-09-30,summer
1,2027-10-01,2028-05-31,winter
1,2028-06-01,2028-09-30,summer
1,2028-10-01,2029-05-31,winter
